Report Type,Vintage,Project ID,Project Name,Project Type,Quantity of Credits,Serial Number,Sub-Account ID,Sub-Account Name
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,50,7059-367676034-367676083-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,830,7063-367702002-367702831-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,110,7856-433105835-433105944-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,821,7855-433086962-433087782-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,360,7945-443240515-443240874-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/01/2015-31/12/2015,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,1,7964-444071437-444071437-VCU-005-APX-BR-14-1686-01012015-31122015-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,1,7777-426999609-426999609-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,1,7777-426999610-426999610-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,"3,571",7855-433048162-433051732-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
Report 1,01/07/2014-31/12/2014,1686,Agrocortex REDD Project,Agriculture Forestry and Other Land Use,"4,050",7855-433051733-433055782-VCU-005-APX-BR-14-1686-01072014-31122014-1,9464,MCO2 Supply
